Unidade da Federação, 2019, 2020, 2021, 2022, 2023
Rondônia,3156296,3190408,5756838,6246765,6298199
Acre,2788208,2780247,2574074,2572384,2724029
Amazonas,4211718,4464516,5121662,3663270,4587309
Roraima,710600,676130,754512,839030,990780
Pará,30393850,30623274,28886605,29285496,29435059
Amapá,83468,84901,75837,72838,74124
Tocantins,7982711,8787634,8284691,8416374,7951284
Maranhão,11847738,13161960,13130918,12464424,12386111
Piauí,10767531,10963555,11115650,11336257,11625048
Ceará,31167458,33562449,34628310,36121115,37303834
Rio Grande do Norte,7195203,7925441,9875483,10812369,11393177
Paraíba,11276738,11855565,12147452,12669505,13173394
Pernambuco,46748346,47998662,50201077,58385329,63883735
Alagoas,8532961,8823684,7900345,6229842,5339668
Sergipe,5783959,5594029,5657900,5510247,5993398
Bahia,47482042,47712933,50264128,49656049,45812654
Minas Gerais,119793894,120295564,119370756,120725726,121189526
Espírito Santo,36581846,35991836,28873825,26078061,25949883
Rio de Janeiro,10793037,10401853,8442040,10643494,11795488
Guanabara,...,...,...,...,...
São Paulo,204934689,200339119,199674264,204279552,205686533
Paraná,383966030,395287952,429707627,449897540,453394749
Santa Catarina,130552216,136322626,131487060,132643322,151028562
Rio Grande do Sul,153659665,165055019,178738070,176164489,158831001
Mato Grosso do Sul,29678301,30036067,33307363,34032656,34276359
Mato Grosso,54378804,47157134,44934261,44507768,42859401
Goiás,95934173,90187594,97747163,107546747,104712363
